group,link
https://rasp.sstu.ru/rasp/group/340,с1-ТЖД-24
https://rasp.sstu.ru/rasp/group/375,с1-ТЖД-31
https://rasp.sstu.ru/rasp/group/376,с1-ТЖД-32
https://rasp.sstu.ru/rasp/group/68,с1-ТЖД-41
https://rasp.sstu.ru/rasp/group/69,с1-ТЖД-42
https://rasp.sstu.ru/rasp/group/70,с1-ТЖДэ-41
https://rasp.sstu.ru/rasp/group/172,с2-ТЖД-31
https://rasp.sstu.ru/rasp/group/343,с1-ЭБЗ-11
https://rasp.sstu.ru/rasp/group/204,с1-ЭБЗ-12
https://rasp.sstu.ru/rasp/group/420,с1-ЭБЗ-13
https://rasp.sstu.ru/rasp/group/344,с1-ЭБЗ-21
https://rasp.sstu.ru/rasp/group/345,с1-ЭБЗ-31
https://rasp.sstu.ru/rasp/group/346,с1-ЭБЗ-32
https://rasp.sstu.ru/rasp/group/347,с1-ЭБЗ-41
https://rasp.sstu.ru/rasp/group/271,с1-ЭБЗ-42
https://rasp.sstu.ru/rasp/group/348,с1-ЭБЗэ-41
https://rasp.sstu.ru/rasp/group/173,с5-ЭБЗ-21
https://rasp.sstu.ru/rasp/group/377,с5-ЭБЗ-41
https://rasp.sstu.ru/rasp/group/433,б1-МЕНЖозипу-11
https://rasp.sstu.ru/rasp/group/504,б2-ЭКОНозипу-21
https://rasp.sstu.ru/rasp/group/505,б2-ЭКОНозипу-31
https://rasp.sstu.ru/rasp/group/506,б3-ЭКОНозипу-31
https://rasp.sstu.ru/rasp/group/446,б4-ЭКОНозипу-11
https://rasp.sstu.ru/rasp/group/447,б4-ЭКОНозипу-12
https://rasp.sstu.ru/rasp/group/508,б4-ЭКОНозипу-21
https://rasp.sstu.ru/rasp/group/509,б4-ЭКОНозипу-22
https://rasp.sstu.ru/rasp/group/510,б4-ЭКОНозипу-31
https://rasp.sstu.ru/rasp/group/657,м-МЕНЖз-21
https://rasp.sstu.ru/rasp/group/621,м-СОЦЛз-21
https://rasp.sstu.ru/rasp/group/642,м1-ГИМУз-21
https://rasp.sstu.ru/rasp/group/643,м1-ТУРМз-21
https://rasp.sstu.ru/rasp/group/617,м1-ЭКОНз-21
https://rasp.sstu.ru/rasp/group/618,м1-ЭКОНз-22
https://rasp.sstu.ru/rasp/group/654,м2-ЭКОНз-21
https://rasp.sstu.ru/rasp/group/620,м4-ЭКОНз-21
https://rasp.sstu.ru/rasp/group/645,м5-ЭКОНз-21
https://rasp.sstu.ru/rasp/group/646,м6-ЭКОНз-21
https://rasp.sstu.ru/rasp/group/644,м3-ФНКРз-21
https://rasp.sstu.ru/rasp/group/140,б-ПМИН-11
https://rasp.sstu.ru/rasp/group/254,б-ПМИН-21
https://rasp.sstu.ru/rasp/group/255,б-ПМИН-31
https://rasp.sstu.ru/rasp/group/256,б-САУП-11
https://rasp.sstu.ru/rasp/group/370,б-САУП-21
https://rasp.sstu.ru/rasp/group/49,б-САУП-31
https://rasp.sstu.ru/rasp/group/373,б-ХМТН-11
https://rasp.sstu.ru/rasp/group/383,б-ХМТН-21
https://rasp.sstu.ru/rasp/group/146,б-ХМТН-31
https://rasp.sstu.ru/rasp/group/187,б2-ТХФИ-11
https://rasp.sstu.ru/rasp/group/240,б2-ТХФИ-21
https://rasp.sstu.ru/rasp/group/314,б2-ТХФИ-31
https://rasp.sstu.ru/rasp/group/216,м-ПМИН-11
https://rasp.sstu.ru/rasp/group/62,м-ТХФИ-11
